,Unnamed: 0,Title,Paragraph Text,Page No
27,27,PRELIMINARY,disclosure of information schedule for bo na fide research or statistical purpose the provision contain in section of this act the appropriate government may disclose individual return or format or information schedule to other agency or person or university solely for bo na fide research or statistical purpose pursuant to and no individual return or information schedule shall be disclose pursuant to this section the name and address of the informant by,6
28,28,PRELIMINARY,whom the schedule or related information was sup plied be every agency or person or institution or university involve in the research or statistical project make a declaration to use the schedule disclose to them only for bo na fide research or statistical purpose the appropriate government make such disclosure be satisfied that the security of and any information contain therein shall not be the publish result of any research or statistical project shall not divulge any,6
29,29,PRELIMINARY,more information than what the agency a ut ho rise for collection of statistic could publish under this every agency or person or institution or university to whom any individual return or information schedule be disclose under this section shall comply with direction give by the for collection of statistic make the disclosure relate to the schedule and any information contain therein,6
30,30,PRELIMINARY,disclosure of historical document notwithstanding anything contain in section of this act the appropriate government may release such document relate to information in it opinion have attain historical importance,6
31,31,PRELIMINARY,security of record information the statistic officer or any person or agency collection of statistic shall while copy ing or record any statistical information collected pursuant to this act from individual return information schedule work sheet or any other confidential source by mean of card tape disc film or any other method whether use encode dor plain language symbol for process ing storage or reproduction of particular take and cause to take such step a be necessary to ensure that the security provision of this act be comply with,6
32,32,PRELIMINARY,restriction on use of information save a otherwise provide under this a no information obtain pursuant to this act and no copy of the information in the possession of any informant shall be disclose or use a evidence in any proceeding no person who have access to any information because of his official position in the collection of any statistic shall be compel in any proceeding whatsoever to give oral testimony regard the information or to produce any schedule document or record with respect to any information obtain in the course of administer this act except in the manner provide under this act chapter and penalty,6
33,33,PRELIMINARY,penalty for neglect or refusal to supply particular whoever to produce of account voucher document or other business record or whoever neglect or refuse to fill in and supply the particular require in any information schedule or return give or sent to him or whoever neglect or refuse to answer any question or inquiry address to him a may be require dunder or for the purpose of any provision of this act and the rule make thereunder shall be punishable with a fine which may extend to one thousand rupee,7
34,34,PRELIMINARY,or in the case of a company with a fine which may extend to five thousand the conviction of a person or company for an of fence shall not relieve him or it of under subsection and if after the expiry of fourteen day from the date of conviction he or it still to give the require particular or continue to neglect or refuse to fill in and supply the particular or to answer the question or inquiry then he or it shall be punishable with a far fine which may extend to one thousand rupee or in the case of a company with a fine which may extend to five thousand rupee for each day after the first during which the failure continue,7
35,35,PRELIMINARY,penalty for make false statement whoever make any false or misleading statement or material omission in any information schedule or return fill in or supply or in answer to any question ask to him under this act or the rule make thereunder shall be punishable with simple imprisonment for a term which may extend to six month or with a fine which may extend to one thousand rupee or in the case of a company with a fine which may extend to five thou san drupe es or with both,7
36,36,PRELIMINARY,penalty for mutilation or defacement of information schedule whoever or mu til ates any information schedule form or other document contain under this act or request any such particular shall be punishable with simple imprisonment for a term which may extend to six month or with a fine which may extend to two thousand rupee or in the case of a company with a fine which may extend to ten thousand rupee or with both,7
37,37,PRELIMINARY,penalty for obstruction of employee whoever with hind ers or any employee in the exercise of any power or duty by this act shall be punishable with simple imprisonment for a term which may extend to six month or with a fine which may extend to two thousand rupee or in the case of a company with a fine which may extend to ten thousand rupee or with both,7
