,Unnamed: 0,Title,Paragraph Text,Page No
0,0,SECTIONS,short title and commencement,1
1,1,SECTIONS,declaration of certain school a institution of national importance,1
2,2,SECTIONS,de fi ni ti ons chapter school,1
3,3,SECTIONS,establishment and incorporation of school,1
4,4,SECTIONS,object of school,1
5,5,SECTIONS,effect of incorporation of school,1
6,6,SECTIONS,power and function of school,1
7,7,SECTIONS,school to be open to all race creed and s,1
8,8,SECTIONS,teach at school,1
9,9,SECTIONS,school to be a distinct legal entity not for profit,1
10,10,SECTIONS,visitor chapter authority of school,1
11,11,SECTIONS,authority of school,1
12,12,SECTIONS,board of governor,1
13,13,SECTIONS,term of office of vacancy among and allowance payable to member of board,1
14,14,SECTIONS,power and function of board,1
15,15,SECTIONS,senate,1
16,16,SECTIONS,function of senate,1
17,17,SECTIONS,chair person of board,1
18,18,SECTIONS,director,1
19,19,SECTIONS,registrar,1
20,20,SECTIONS,other authority and officer,1
21,21,SECTIONS,review of performance of school,1
22,22,SECTIONS,grant by central government chapter and audit,1
23,23,SECTIONS,fund of school,1
24,24,SECTIONS,account and audit,1
25,25,SECTIONS,pension and provident fund,1
26,26,SECTIONS,appointment,1
27,27,SECTIONS,statute,1
28,28,SECTIONS,statute how make,1
29,29,SECTIONS,ordinance,1
30,30,SECTIONS,ordinance how,1
31,31,SECTIONS,tribunal of ar bit ra ti on chapter council,2
32,32,SECTIONS,establishment of council for school,2
33,33,SECTIONS,term of office of vacancy among and allowance payable to member of council,2
34,34,SECTIONS,function of council,2
35,35,SECTIONS,chair person of council,2
36,36,SECTIONS,power to make rule in respect of matter in this chapter chapter,2
37,37,SECTIONS,act and proceeding not to be invalidate by vacancy,2
38,38,SECTIONS,return and information to be provide to central government,2
39,39,SECTIONS,power to remove difficulty,2
40,40,SECTIONS,school to be public authority under right to information act,2
41,41,SECTIONS,transitional provision st he schedule school of and architecture act no of act to establish and declare school of and architecture a institution of national importance in order to promote education and research in architectural of human it enact by parliament in the sixty fifth year of the republic of a follow chapter i,2
42,42,SECTIONS,short title and commencement this act may be call the school of and architecture act it shall come into force on such a the central government may by notification in al gazette appoint and different date may be appoint for different provision of this act and any reference to the commencement in any such provision of this act shall be construe a a reference to the commencement of that provision,3
43,43,SECTIONS,declaration o f certain school a institution of national importance whereas the the school mention in the schedule be such a to make them institution of national importance it be hereby declare that each such school be an institution of national i,3
44,44,SECTIONS,definition in this act unless the context otherwise require a board in relation to any school mean the board of governor chair person mean the chair person of the correspond school in relation to a school mention in column of the the school a specify against the say school in column of the schedule council mean the council establish under sub section of section director in relation to any school mean the director there off exist,3
45,45,SECTIONS,school mean the school mention under column of the member mean a member of the board and include the notification mean a notification publish in the official e and the expression notify with it grammatical variation and cognate expression shall be construe mean by rule make under this registrar in relation to any school mean the registrar schedule mean the schedule to this school mean any of the,3
46,46,SECTIONS,school mention in column of the schedule and such other school establish under this senate in relation to any school mean the senate society mean any of the society register under the society registration act of or under the society of respective state government and mention in column the statute and ordinance in relation to any school mean the statute and that school make under this act,3
47,47,SECTIONS,notification no so date see gazette of extraordinary part sec school,3
48,48,SECTIONS,establishment and incorporation of school on and from the date of commencement of this act the school specify in column of the schedule shall be the body corp or ates succession and a common seal with the power subject to the provision of this act to acquire hold and dispose of property both movable and immovable and to contract and shall by the irrespective name in column of the schedule sue or be sue,4
49,49,SECTIONS,object of school each school shall have the follow object namely i to support the establishment and development of school of and to provide global leadership in the field of architecture and allied field,4
50,50,SECTIONS,effect of incorporation of school on and from the commencement of this act a any reference to any exist school in any contract or other instrument shall be de eme das a reference to the es pon ding all property movable and immovable of or belonging to every exist school shall vest in the correspond school mention under column of the all the right debt and other liability of every exist school shall be transfer to and be the right and liability of the correspond,4
51,51,SECTIONS,scho old every person employ by every exist school shall hold his office or service in the corresponding school with the same tenure at the same remuneration and upon the same term sand condition and with the same right and privilege a to pension leave gratuity provident fund and other matter a he would have if this act have not be enact and shall continue to do so unless and until his employ men t be terminate or until such tenure remuneration and condition be duly alter by the st a tut es provided that,4
52,52,SECTIONS,if the alteration so make be not acceptable to such employee his employment may be terminate by the school in accordance with the term of the contract with the employee or if no provision be make therein in this behalf on payment to him by the school of compensation equivalent to three month remuneration in case of permanent employee and remuneration in the case o f other far that any reference by whatever form of word to the director registrar and other officer of an exist school in any,4
53,53,SECTIONS,law for the time be in force or in any instrument or other document shall be construe a a r to the director registrar and other officer of the correspond every person pursue before the commencement of this act any academic or research course in every exist school shall be deem to have migrate and register wi th the corresponding school on such commencement at the same level of study in the school from which such person all suit and other legal proceeding institute or which could,4
54,54,SECTIONS,have be institute by or against an exist school y before the commencement of this act shall be continue dor institute by or against the correspond school,4
55,55,SECTIONS,power and function of school subject to the provision of this act every school shall exercise the power and perform the duty a specify below namely a to or ga ni se and undertake research and innovation in architecture design and allied activity in such manner a the school may think fit include in collaboration or association with any other school l institution research organ is at ion or to hold examination and grant degree diploma certificate and other,4
56,56,SECTIONS,to institute fellowship scholarship and award honorary degree or other academic distinction or t to fix demand and receive fee and other charge se to establish maintain and manage hall and hostel for the residence of to supervise and control the residence and regulate the discipline of student of the school and to e arrangement for promote their health general welfare and culture and to notify academic and other post with the prior approval of the central government,4
57,57,SECTIONS,and to make appointment thereto exclude the post of to a p poi person work in any other school or educational institution or involve in research of significance in any industry a adjunct guest or visit teacher of the school on such term and for such duration a the school may to frame st a tut e and ordinance and to alter modify or rescind the to establish and maintain such infrastructure a may be to deal with any property belonging to or in the school in such manner a,4
58,58,SECTIONS,the school may deem fit for advance the object of the to manage the fund of the school and receive gift grant donation or benefaction from the government and to receive bequest donation and transfer of movable or immovable proper ti es from testator or donor or transferor a the case may to operate with educational or other institution in any part of the world have or partly similar to those of the school by exchange of teacher student and scholar and generally in such manner a may,4
59,59,SECTIONS,be conducive to their common object on such term a may from time to time by the se na ten to undertake in the area or discipline relate to the school for promotion of its common objective an do to do all such thin g a may be necessary incidental or conducive to the attainment of all or any of the object of the notwithstanding anything contain in sub section a school shall not dispose of in any manner any immovable property without the prior a p of the central government,4
60,60,SECTIONS,school to be open to all race creed and class every school shall be open toper sons of either sex and of whatever race creed caste or class religion disability social or economic bac no bequest donation or transfer of any property shall be accepted by any school which in the opinion of the council condition or obligation oppose to the spirit and object of this section,5
61,61,SECTIONS,teach at school all teach at each of the school shall be conduct by or in the name of the school in accordance with the statute and ordinance make in this behalf,5
62,62,SECTIONS,school to be a distinct legal entity not for profit each school shall be a not for profit legal entity and no pa of the surplus if any in revenue of such school after meeting all expenditure in regard to it operation under this act shall be invest for any purpose other than for the growth and development of such school or for conduct research therein,5
63,63,SECTIONS,visitor the president of shall be the visitor of every the visitor may appoint one or more person to review the work and progress of any school and to hold inquiry into the affair thereof and to report thereon in such manner a s the visitor upon receipt of any such report the visitor may take such action and issue such direction a she necessary in respect of any of the matter dealt with in the report and the school shall be bound to comply with such direction within reasonable time chapter authority of school,5
64,64,SECTIONS,authority of school the follow shall be the authority of a school namely a a board of a senate such other authority a may be declare by the statute to be the authority of the school,6
65,65,SECTIONS,board of governor the board of each school shall be the principal executive body of that the board of every school shall consist of the follow member namely a chair person to b e appoint by the visitor from among a panel of three by the central government who shall be an eminent architect or principal secretary or secretary technical education or high education of the respective state govern men t or union territory in which the school be one representative from the,6
