,Unnamed: 0.1,Unnamed: 0,Title,Paragraph Text,Page No
0,0,0,,"1.. Short title and commencement. —(1)) This Act may be called the Integrated Goods and Services Tax(Extension to Jam mu and Kashmir) Act, 2017.(2)) It shall be deemed to have come into force on the 8th day of July, 2017.",2
1,1,1,,"2.. Extension and amendment of Integrated Goods and Services Tax Act. —The Integrated Goods and Services Tax Act, 2017 (13 of 2017) thereinafter referred to as the principal Act) and all rules, notifications, schemes and orders made hereunder by the Central Government are hereby extended to, and shall be in force in, the State of Jam mu andKashmir.(2)) With effect from the date of commencement of this Act, in the principal Act, in section 1,, in sub-section ( 2)), the words “except the State of Jam mu and Kashmir” shall be omitted.",2
2,2,2,,"3.. Repeal and saving. —(1)) The Integrated Goods and Services Tax (Extension to Jam mu and Kashmir) Ordinance(Ord. 4of 2017) is hereby repealed.(2)) Notwithstanding such repeal, anything done or any action taken under the said Ordinance shall be deemed to have been done or taken under the corresponding provisions of this Act.",2
