,Unnamed: 0,Title,Paragraph Text,Page No
0,0,SECTIONS,short title and commencement,1
1,1,SECTIONS,repeal and saving national commission for backward classes repeal act no of august act to repeal the national commission for backward class act it enact by parliament in the sixty ninth year of the republic of a follow,1
2,2,SECTIONS,short title and commencement this act may be call the national commission for backward class repeal act it shall come into force on such a the central government may by notification in the official gazette appoint,2
3,3,SECTIONS,repeal and saving the national commission for backward class act be hereby repeal and the national commission for backward class constitute under sub section of section of the say act shall stand the repeal of the national commission for backward class act of shall however not affect i the previous operation of the act so repeal or anything duly do or suffer thereunder any right privilege obligation or liability acquire accrue or,2
4,4,SECTIONS,incur under the act so any penalty confiscation or punishment incur in respect of any contravention under the act sore pea led any proceed or remedy in respect of any such right privilege obligation liability penalty confiscation or punishment a afore say and any such proceed or remedy may be institute continued or enforced and any such penalty confiscation or punishment may be impose or make a if that act have not been the mention of the particular matter refer to in sub section,2
5,5,SECTIONS,shall not be to prejudice or affect the general application of section of the general clause act of with regard to the effect of repeal,2
6,6,SECTIONS,august notification no so date august see gazette of extraordinary part,2
