,Unnamed: 0,Title,Paragraph Text,Page No
54,54,SECTIONS,year in dealing with environmental matter in the central or a state government or in a repute national or state level the chair person judicial member and expert member of the tribunal shall not hold any other office during their tenure a the chair person and other judicial and expert member shall not for a period of two year from the date on which they cease to hold office accept any employment in or connect with the management or administration of any person who have be a party to a proceed before the,5
55,55,SECTIONS,tribunal under this act provided that nothing contain in this section shall apply to any employment under the central government or a state government or local authority or in any statutory a u th or any corporation established by or under any central state or provincial act or a government company a define insection of the company act of,5
56,56,SECTIONS,appointment of chair person member and expert member subject to of section the chair person judicial member and expert member of the tribunal shall be a p pointed by the central the chair person shall be appoint by the central government in consultation with the chief justice of in di the judicial member and expert member of the tribunal shall be appoint on the recommend a ti ons of such selection committee and in such manner a may be,6
57,57,SECTIONS,term of office and other condition of service of chair person member and expert member the chair person judicial member and expert member of the tribunal shall hold office as such for a term of five year from the date on which they enter upon their office but shall not be eligible for re appointment provided that in case a person who be or have be a judge of the supreme court have be appointe das chair person or judicial member of the tribunal he shall not hold office after he have attain the age of seventy,6
58,58,SECTIONS,far that in case a person who be or have be the chief justice of a high court have bee nap pointed a chair person or judicial member of the tribunal he shall not hold office after he have age of sixty seven also that in case a person who be or have be a judge of a high court have be appoint as judicial member of the tribunal he shall not hold office after he have attain the age of sixty also that no expert member shall hold office after he have attain the age of sixty,6
59,59,SECTIONS,resignation the chair person judicial member and expert member of the tribunal may by notice in write under their hand address to the central government resign their office,6
60,60,SECTIONS,salary allowance and other m and condition of service the sal and allowance spay able to and the other term and condition of service include pension gratuity and other retirement be nef its of the chair person judicial member and expert member of the tribunal shall be such a maybe t hat neither the salary and allowance nor the other term and condition of service of the chair person judicial member and expert member shall be varied to their disadvantage after their appointment,6
61,61,SECTIONS,removal and suspension of chair person mem ber and expert member the central government may in consultation with the chief justice of remove from office of the chair person or judicial member of the tribunal who a have be adjudge an insolvent orb have be convict of an of fence which in the opinion of the central government turpitude orc have become physically or mentally incapable have acquire such financial or other interest a be likely to affect prejudicially his ion,6
62,62,SECTIONS,ore have so abuse his position a to render his continuance in office prejudicial to the the chair person or judicial member shall not be remove from his office except by an order made by the central government after an y make by a judge of the supreme court in which such chair person or judicial member have be inform of the charge against him and give a reasonable opportunity of be in respect of those the central government may suspend from of fi ce the chair person or judicial member in,6
63,63,SECTIONS,respect of whom a reference of conduct an inquiry have be make to the judge of the supreme court until the central government pass an order on receipt of the report of inquiry make by the judge of the supreme court on such the central government may by rule regulate the procedure for inquiry refer to in subsection the expert member may be remove from his office by an order of the central government on the ground specify in sub section and in accordance with the procedure a may,6
64,64,SECTIONS,be notify by the central government provided that the expert member shall not be remove unless he have be give an opportunity of being in the term and condition of service of chair person judicial member and expert member notwithstanding anything contain in this act the qualification appointment term of office salary and allowance resignation removal and other term and condition of service of the chair person judicial member and expert member of the tribunal appoint after the,6
65,65,SECTIONS,commencement of part of chapter of the finance act of shall be govern by the provision of section of that act provided that the chair person judicial member and expert member appoint before the commencement of part of chapter of the finance act shall continue to be govern by of this act and the rule make thereunder a if the pro vision of section of the finance act have not come into force,6
66,66,SECTIONS,to act a chair person of tribunal or to discharge his ion in in the event of the occurrence of any vacancy in the office of the chair per son of the tribunal by reason of his death resignation or otherwise such judicial member of the tribunal a the central government may by notification a ut ho rise in this behalf shall act a the chair person until the date on which a new chair person be appoint in accordance with the provision of this act,7
67,67,SECTIONS,staff of tribunal the central government shall determine the nature and category of and other employee require to assist the tribunal in the discharge of it the recruitment of the officer and other employee of the tribunal shall be make by the chair person in such manner a may be the officer and other employee of the tribunal shall discharge their function under the general superintendence of the the salary and allowance and condition of service of the officer and other employee of the tribunal shall be such a may be,7
68,68,SECTIONS,financial and ad min ist power of chair person the chair person of the tribunal shall exercise such financial and administrative power a may be in him under the rule make by the central government provided that the chair person may delegate such of his financial and administrative power a he may think fit to any judicial member or expert member or officer of the tribunal subject to the condition that the member or such officer while exercise such delegate power continue to act under the direction control and supervision of the chair person chapter power and proceeding of the tribunal,7
69,69,SECTIONS,tribunal to settle dispute the tribunal shall have the jurisdiction over all civil a substantial question relate to environment include enforcement of any legal right relate to environment be involve and such question ar is es out of the implementation of the enactment spec if ie din schedule i,7
70,70,SECTIONS,in by act of s the tribunal shall hear the dispute arise from the question refer to in sub section and settle such dispute and er no application for adjudication of dispute under this section shall be entertain by the tribunal unless it be make within a period of six month from the date on which the cause of action for such dispute first arose provided that the may if it be satisfied that the applicant be prevent by sufficient cause from filing the application within the say period allow it to be file within a far period not exceeding sixty day,7
71,71,SECTIONS,relief compensation and restitution the tribunal may by an order provide a relief and compensation to the victim of pollution and other environmental damage a rising under the enactment specify in the schedule i include accident occur while handle any hazardous for restitution of property for restitution of the environment for such area or are as as the tribunal may think the relief and compensation and restitution of property and environment refer to in clause a b and c,8
72,72,SECTIONS,of subsection shall be in addition to the relief pa id or payable under the public liability insurance act of no application for grant of any compensation or relief or restitution of property or environment under this section shall be entertain by the tribunal unless it be make within a period of five year from the date on which the cause for such compensation or relief first arose provided that the tribunal may if it be satisfied that the applicant be prevent by sufficient ca us filing the application,8
73,73,SECTIONS,within the say period allow it to be file within a far period not exceeding sixty the tribunal may have regard to the damage to public health property and environment divide the compensation or relief pay able under separate head specify in schedule so a to provide compensation or relief to the claimant and for restitution of the damage property or environment a it may think every claimant of the compensation or relief under this act sha intimate to the tribunal about the application file to or a the case may be compensation or relief receive from any other court or authority,8
74,74,SECTIONS,tribunal to have appellate jurisdiction any person aggrieve by a an order or decision make on or after the commencement of the national green tribunal act by the appellate authority under section of the water prevention and control of pollution act of b an order pass on or after the commencement of the national green tribunal act by the state government under section of the water prevention and control of pollution act of c direction issue on or after the commencement,8
75,75,SECTIONS,of the national green tribunal act board under sec ti on of the water prevention and control of pollution act of d an order or decision make on or after the commencement of the national green tribunal by the appellate authority under section of the water prevention an d control of pollution cess act of e an order or decision make on or after the commencement of the national green tribunal by the state government or other authority under section of the forest,8
76,76,SECTIONS,conservation of an order or decision make on or after the commencement of the national green tribunal by the appellate authority under section of the air prevention and control of pollution act of g any direction issue on or after the commencement of the national green tribunal act section of the environment protection act of h an order make on or after the commencement of the national green tribunal act environmental,8
77,77,SECTIONS,clearance in the area in which any industry operation or process or class of industry operation and process shall not be carry out or shall be carry out subject to under the environment protection act of i an order make on or after the commencement of the national green tribunal act to grant environmental clearance for carry out any activity or operation or process under the environment protection act of j any determination of benefit share or,8
78,78,SECTIONS,order make on or after the commencement of the national green tribunal act by the national authority or a state under the provision of the biological diversity act of within a period of thirty day from the date on which the order or decision or direction or determination be communicate to him prefer an appeal to the tribunal provided that the tribunal may if it be satisfied that the appellant be d by sufficient cause from filing the appeal within the say period allow it to be file under this section within a far period not exceed sixty day,8
79,79,SECTIONS,liability to pay relief or compensation in certain case where death of or injury to any person other than a workman or damage to any property or environment have result from an accident or the adverse impact of an activity or operation or process under any enactment specify in schedule it he person responsible shall be liable to pa y such relief or compensation for such death injury or damage under all or any of the head specify in schedule a may be determine by the if the death injury or damage cause,9
80,80,SECTIONS,by an accident or the adverse impact of an activity or operation or process under any enactment specify in schedule i cannot be attribute to any single activity or operation or process but be the combine or resultant effect of several such and process the tribunal may apportion the liability for relief or compensation amongst those responsible for such activity operation and process on an equitable the tribunal shall in case of an accident apply the principle of no fault,9
